% 1. Title: Fire Detection 
% 2. Relevant Information:
%
%	 This data is about texture and distribution of colors in images from 
%	 fire in coniferous forest taken in day.
%
%      This data set includes WRITE-NUMBER!!! instances of the class "fire" 
%      and WRITE-NUMBER!!! instances of "nofire" class, and WRITE-NUMBER!!! instances of "smoke" class 
%      The instances are described by 12 attributes.
%  
% 
% 3. Number of Instances: WRITE NUMBER!!!!!!!
% 
% 4. Number of Attributes: 11  + the class attribute
% 
% 5. For Each Attribute:
%   1. Average value of red color (numeric)
%   2. Average value of green color (numeric)
%   3. Average value of blue color (numeric)
%   4. Standard Deviation value of red color (numeric)
%   5. Standard Deviation value of green color (numeric)
%   6. Standard Deviation value of blue color (numeric)
%   7. Energy value of the picture converted to gray-scale (numeric)
%   8. Homogeneity value of the picture converted to gray-scale (numeric)
%   9. Contrast value of the picture converted to gray-scale (numeric)
%   10. Dissimilarity value of the picture converted to gray-scale (numeric)
%   11. Correlation value of the picture converted to gray-scale (numeric)
%   12. Class variable (fire, no_fire, smoke)
%
% 6. Missing Attribute Values: None
%
% 7. Class Distribution: (class value 0 as "no_fire", 1 is interpreted as "fire"
%    and value 2 as "smoke" )
%    Class Value  Number of instances
%    0            
%    1            
%    2
%
@relation fire-detection 
@attribute meanr numeric
@attribute meang numeric
@attribute meanb numeric
@attribute std-devr numeric
@attribute std-devg numeric
@attribute std-devb numeric
@attribute energy numeric
@attribute homogeneity numeric
@attribute contrast numeric
@attribute dissimilarity numeric
@attribute correlation numeric
@attribute 'class' {fire, no_fire, smoke}
@data
141.8172,90.9822,69.37,39.7793,25.2765,26.5525,0.3021,0.7098,1.1202,0.6678,0.7944,fire
192.495,186.3933,162.7067,29.0667,30.885,24.9767,0.3619,0.9198,0.1604,0.1604,0.9762,smoke
106.2917,104.4494,97.8111,11.6565,9.4517,10.8943,0.6332,0.949,0.102,0.102,0.8579,smoke
122.5233,113.4211,108.2689,34.1296,41.3963,43.051,0.3689,0.8553,0.3248,0.2954,0.9724,smoke
177.1394,179.2711,166.2139,16.7385,16.0297,15.6822,0.5225,0.951,0.0981,0.0981,0.9508,smoke
24.5361,29.6939,22.8411,7.6276,7.2012,6.0347,0.6159,0.9189,0.1621,0.1621,0.7183,no_fire
65.1,50.7878,43.84,8.1915,7.6774,7.3105,0.5865,0.854,0.2988,0.2931,0.4999,no_fire
210.2689,188.5944,141.7956,53.9767,74.0574,65.2639,0.2894,0.6192,3.6009,1.1463,0.8998,fire
116.1972,106.4133,119.0244,20.8746,18.0668,16.6921,0.425,0.9294,0.1412,0.1412,0.9488,smoke
80.0183,66.0594,65.675,26.1721,9.7922,3.5268,0.5355,0.97,0.0601,0.0601,0.9571,smoke
29.8867,33.0256,16.3628,11.0412,11.6113,9.3254,0.4757,0.8544,0.2925,0.2914,0.7318,no_fire
163.5611,52.2039,30.7789,51.588,38.9153,19.2406,0.3994,0.9206,0.1684,0.1604,0.9859,fire
64.7011,93.1117,28.9717,38.6117,46.5976,24.6971,0.141,0.515,3.1861,1.3066,0.7738,no_fire
130.3867,149.8417,50.3956,48.5311,52.3476,37.7259,0.1271,0.4381,6.4712,1.8313,0.6698,no_fire
146.5794,127.4039,110.9006,33.0077,35.1941,34.4625,0.3251,0.9374,0.1253,0.1253,0.987,smoke
216.4528,167.8117,132.1478,39.5051,58.5342,59.6175,0.2493,0.7932,0.5935,0.4427,0.973,fire
102.4967,31.6106,23.6994,51.0992,24.1127,19.7396,0.2117,0.5631,2.5062,1.123,0.5901,fire
153.5656,100.3183,58.3878,70.8332,69.6688,27.7215,0.2601,0.7552,1.4677,0.6389,0.956,fire
74.8811,60.0717,29.4144,20.6919,16.5492,14.6025,0.3584,0.7786,0.5448,0.4598,0.7774,no_fire
53.2111,92.5156,28.1594,29.9152,40.0704,20.848,0.1824,0.6202,1.7521,0.9174,0.8297,no_fire
165.0339,116.6239,49.4606,56.1228,36.0049,23.2955,0.2378,0.7097,1.1888,0.6786,0.8923,fire
154.7056,114.3883,103.6117,64.142,30.362,30.0521,0.2187,0.7041,0.8917,0.6412,0.9157,fire
